id,name,host_id,host_name,room_type,price
17705224,Cosy double room at the very heart of Zurich!,4608888,Gloria Lorena,Private room,
17706352,"Executive 1BR flat, city center (Hammer 3)",23561865,Dimi,Entire home/apt,177
17739331,Living & homeoffice with spectacular views ! (41),13570663,Christian Robert,Entire home/apt,143
17854285,Charming 1BD flat / old town UZ1,23561865,Dimi,Entire home/apt,167
17915734,"Luxurious, cozy & sunny city apartment",122816440,Vanessa,Entire home/apt,
17918837,Vintage roof-apartment - 2 bedrooms - A/C,118154826,,Entire home/apt,119
17954448,2.5 maisonette old town (Nov 2024 - April 2025),9145568,Tamara,Entire home/apt,
17960665,Penthouse with rooftop terrace near Central&HB,365856,Alex,Entire home/apt,219
17969667,2BR flat close to lake/opera/city center (SF10),23561865,Dimi,Entire home/apt,380
18031424,Bright room in calm area,65321890,Magalie,Private room,
18165560,3 room appartement - Goodkarma Flat :),122212913,Jasmine,Entire home/apt,125
18178310,Spacious Apartment In Green Area,35415367,Rada,Entire home/apt,
18233101,TWO ROOM (1BR) SERVICED APARTMENT IN ZURICH CITY,34541936,Strahinja,Entire home/apt,182
18355296,Easy Studio Apartment,58818657,Book A Home AG,Entire home/apt,95
18456292,Studio at famous Storchengasse (Stork 45),1314526,Giancarlo,Entire home/apt,136
18780797,"Double Room, private Bath, Hostel Zurich",130699837,Youth Hostel Zürich,Shared room,140
18845736,"Moderne 2,5 Zi.-Wohnung Zürich-City",22529176,Monika,Entire home/apt,
18966169,Airy and sunny room,4816094,Tina&Sasha,Private room,
18993086,Amazing Penthouse - Flower 51,1314526,Giancarlo,Entire home/apt,298
19040977,Stunning central zürich apartment,3515231,Stéphane,Entire home/apt,
19061852,Nice 1BR flat in the city center (Crown 3),1314526,Giancarlo,Entire home/apt,198
19064159,Loft in the historical center (Symbol 4),1314526,Giancarlo,Entire home/apt,217
19064424,Cozy 1BR near lake with balcony (Mill 4.22),1314526,Giancarlo,Entire home/apt,235
19133540,⭐️⭐️⭐️ Comfortable Apartment in the Center of Zurich,32320648,Marco,Entire home/apt,77
19205207,Exclusive 160m2 lake front penthouse,3698452,Jan,Entire home/apt,
19220952,2 Bedroom Apartment with Balcony,90399530,Daniella,Entire home/apt,240
19283462,"Styled, cozy, surrounded by nature",1738612,Marianne,Private room,140
19310604,Room in vintage apt in the heart of Zürich,28743148,Lizzie,Private room,
19359438,"Schöne, grosse Wohnung",135679340,,Entire home/apt,
19449226,Modern 1 Bedroom Apartment with Roof Top Terrace,58818657,Book A Home AG,Entire home/apt,151
19596005,Central n quiet entire flat + free parking space.,90995955,Ferya,Entire home/apt,
19618198,Big Room Near City Center,18327045,Michal,Private room,
19668762,Spacious 1BDR near Lake and Opera - Mill 3.11,1314526,Giancarlo,Entire home/apt,160
19678667,2 Bedroom Apartment with Garden View,90399530,Daniella,Entire home/apt,241
19743179,"9 Min. von City/HB, kl. Zimmer in romant. Haus.",122070790,Sandra,Private room,36
19755371,Perfekt Home at the city center,139383423,Marina,Entire home/apt,141
19776405,Nice 1 BR flat city center / near lake (D7),23561865,Dimi,Entire home/apt,202
19904561,Artist flat in trendy Wiedikon,10017243,Andrea,Private room,78
19929239,"very centrally located, very quiet and  green",36603309,Carmen Und Rudi,Entire home/apt,94
20020539,Old city - Bahnhofstrasse and Main Station in 300m,2668176,Dmitrij,Entire home/apt,
20025745,Charming Apartment in the heart of ZH-Oerlikon,58818657,Book A Home AG,Entire home/apt,125
20079919,Limmatquai River View Apartment With Jacuzzi,475053,Alexander Matthias,Entire home/apt,1176
20098001,Designer room in the core of Zurich Center,2614674,Etienne,Private room,
20182402,Cosy 2 room apt right at Zurich main station,21628199,Andreas,Entire home/apt,
20216905,Bijou in pedestrian area and old town of Zurich,101365596,Fabienne,Entire home/apt,139
20246499,Spacious and comfy Room in Wipkingen,17880389,Vanessa,Private room,
20349682,"1 Bedroom Serviced Apartment, Seefeld",24506494,EMA House,Entire home/apt,281
20397857,Urban 2.5 rooms Bachelor pad with big balcony,77707366,Patrick,Entire home/apt,
20429590,Penthouse Mainau,96690844,Bernhard,Entire home/apt,700
20438205,Bright Maisonette Loft in Kreis 3 Zürich,13713679,Regina,Entire home/apt,190
20621446,"Zürich - Modern, Comfortable, Designer & Central",26784112,Zurich,Entire home/apt,78
20636301,Spacious apartment just behind the railway station,66592862,Martin,Entire home/apt,257
20676422,"TOP City Wohnung

bis 180 Tage",147944640,Paul,Entire home/apt,169
20779394,Zurich Wiedikon lovely & cosy apartment -Rooftop-,1224221,Janet,Private room,
20829919,In the heart of Zurich,149424509,Daniela,Entire home/apt,
20830377,Single family 4 bedroom house with lakeview,53324682,Karen,Entire home/apt,
20977621,1 Zimmer,150950946,Rodriguez,Private room,35
20992774,Forrest side Apartment,151111609,Ruth,Entire home/apt,
21109761,"Lovely apartment close to city Center, ETH & Uni",35801482,Sebastian,Entire home/apt,93
21170147,Charming and cozy apartment in Zurich Wipkingen,2582493,Maike Stern,Entire home/apt,
21235902,"Sunny, furbished business appartment",6556129,Martin,Entire home/apt,
21270657,Boutique designer apartment in the centre of town,153115058,Thomas,Entire home/apt,-201
21294062,Stadt Zürich-gemütliches Studio 4207,19610180,Rossana,Entire home/apt,95
21381593,"Bright, spacious room with large loggia",29950378,Maximilian,Private room,
21466718,Bright 1 BR flat (Parkview 1),23561865,Dimi,Entire home/apt,235
